Nome,Data de Criação,Pull Requests Aceitas,Total de Releases,Última Atualização,Linguagem Primária,Issues Fechadas,Issues Abertas
fucking-algorithm,2020-02-19T09:01:23Z,238,1,2025-03-02T20:57:51Z,Markdown,100,0
go,2014-08-19T04:33:40Z,1,0,2025-03-02T21:48:31Z,Go,100,0
Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,6,19,2025-03-02T21:53:32Z,Batchfile,100,0
30-seconds-of-code,2017-11-29T17:35:03Z,821,11,2025-03-02T21:33:41Z,JavaScript,100,0
tech-interview-handbook,2016-07-05T05:00:48Z,466,0,2025-03-02T20:20:41Z,TypeScript,68,32
awesome-chatgpt-prompts,2022-12-05T13:54:13Z,158,0,2025-03-02T21:45:20Z,HTML,0,0
react-native,2015-01-09T18:10:16Z,886,375,2025-03-02T19:23:38Z,C++,100,0
scrcpy,2017-11-21T18:00:27Z,109,44,2025-03-02T21:33:52Z,C,88,12
electron,2013-04-12T01:47:36Z,21637,1000,2025-03-02T21:05:43Z,C++,100,0
PowerToys,2019-05-01T17:44:02Z,5103,109,2025-03-02T21:28:07Z,C#,64,36
kubernetes,2014-06-06T22:56:04Z,60807,722,2025-03-02T21:37:21Z,Go,100,0
free-programming-books-zh_CN,2013-11-04T01:59:19Z,282,3,2025-03-02T19:35:51Z,N/A,0,0
d3,2010-09-27T17:22:42Z,491,194,2025-03-02T19:07:36Z,Shell,100,0
node,2014-11-26T19:57:11Z,9810,430,2025-03-02T20:12:09Z,JavaScript,100,0
hello-algo,2022-11-04T11:08:34Z,906,9,2025-03-02T19:31:28Z,Java,97,3
axios,2014-08-18T22:30:27Z,940,89,2025-03-02T18:51:38Z,JavaScript,100,0
three.js,2010-03-23T18:58:01Z,13742,166,2025-03-02T21:48:30Z,JavaScript,100,0
create-react-app,2016-07-17T14:55:11Z,1949,83,2025-03-02T20:37:03Z,JavaScript,100,0
yt-dlp,2020-10-26T04:22:55Z,2540,104,2025-03-02T21:36:42Z,Python,97,3
TypeScript,2014-06-17T15:28:39Z,14558,208,2025-03-02T21:33:15Z,TypeScript,99,1
langchain,2022-10-17T02:58:36Z,13264,811,2025-03-02T21:16:03Z,Jupyter Notebook,100,0
deno,2018-05-15T01:34:26Z,12412,313,2025-03-02T20:59:52Z,Rust,100,0
nodebestpractices,2017-09-15T08:33:19Z,765,0,2025-03-02T19:38:56Z,Dockerfile,99,1
rust,2010-06-16T20:39:03Z,61532,135,2025-03-02T21:32:42Z,Rust,100,0
HelloGitHub,2016-05-04T06:24:11Z,17,52,2025-03-02T19:16:02Z,Python,100,0
terminal,2017-08-11T18:38:22Z,4040,128,2025-03-02T21:04:26Z,C++,97,3
angular,2014-09-18T16:12:01Z,3703,410,2025-03-02T20:25:32Z,TypeScript,100,0
material-ui,2014-08-18T19:11:54Z,19929,525,2025-03-02T20:19:37Z,TypeScript,100,0
godot,2014-01-04T16:05:36Z,36306,58,2025-03-02T21:08:43Z,C++,100,0
ant-design,2015-04-24T15:37:24Z,15024,691,2025-03-02T19:31:02Z,TypeScript,100,0
excalidraw,2020-01-02T01:04:43Z,3565,13,2025-03-02T20:43:07Z,TypeScript,99,1
